PACKAGE	51.19	Hotels	64	22.01						Tours	26	29.18
PACKAGE	53.17	Hotels	6	23.99						Tours	26	29.18
PACKAGE	54.39	Hotels	54	25.21						Tours	26	29.18
PACKAGE	58.96	Hotels	32	29.78						Tours	26	29.18
PACKAGE	64.85	Hotels	20	35.67						Tours	26	29.18
PACKAGE	66.08	Hotels	19	36.90						Tours	26	29.18
PACKAGE	66.29	Hotels	51	37.11						Tours	26	29.18
PACKAGE	73.02	Hotels	29	43.84						Tours	26	29.18
PACKAGE	73.50	Hotels	5	44.32						Tours	26	29.18
PACKAGE	74.11	Hotels	55	44.93						Tours	26	29.18
PACKAGE	78.37	Hotels	1	49.19						Tours	26	29.18
PACKAGE	82.37	Hotels	43	53.19						Tours	26	29.18
PACKAGE	83.68	Hotels	14	54.50						Tours	26	29.18
PACKAGE	94.86	Hotels	40	65.68						Tours	26	29.18
PACKAGE	95.00	Hotels	41	65.82						Tours	26	29.18
PACKAGE	96.25	Hotels	3	67.07						Tours	26	29.18
PACKAGE	98.08	Hotels	79	68.90						Tours	26	29.18
PACKAGE	98.41	Hotels	59	69.23						Tours	26	29.18
PACKAGE	99.57	Hotels	74	70.39						Tours	26	29.18
PACKAGE	105.10	Hotels	12	75.92						Tours	26	29.18
PACKAGE	106.86	Hotels	7	77.68						Tours	26	29.18
PACKAGE	116.47	Hotels	80	87.29						Tours	26	29.18
PACKAGE	118.53	Hotels	11	89.35						Tours	26	29.18
PACKAGE	118.66	Hotels	8	89.48						Tours	26	29.18
PACKAGE	118.85	Hotels	61	89.67						Tours	26	29.18
PACKAGE	120.22	Hotels	77	91.04						Tours	26	29.18
PACKAGE	120.78	Hotels	18	91.60						Tours	26	29.18
PACKAGE	122.23	Hotels	42	93.05						Tours	26	29.18
PACKAGE	124.68	Hotels	78	95.50						Tours	26	29.18
PACKAGE	126.54	Hotels	37	97.36						Tours	26	29.18
PACKAGE	127.04	Hotels	22	97.86						Tours	26	29.18
PACKAGE	127.66	Hotels	60	98.48						Tours	26	29.18
PACKAGE	131.84	Hotels	4	102.66						Tours	26	29.18
PACKAGE	131.98	Hotels	16	102.80						Tours	26	29.18
PACKAGE	134.99	Hotels	15	105.81						Tours	26	29.18
PACKAGE	140.66	Hotels	67	111.48						Tours	26	29.18
PACKAGE	142.02	Hotels	68	112.84						Tours	26	29.18
